필드,정확도,correct,partial,mismatch,both_null,total,category
종목,1.0000,1,0,0,0,1,
투찰율,1.0000,1,0,0,0,1,
기초금액,1.0000,1,0,0,0,1,
추정가격,1.0000,1,0,0,0,1,
지역,1.0000,1,0,0,0,1,
보험료합계,1.0000,0,0,0,1,1,
금액정보,1.0000,0,0,0,1,1,
발주처코드,1.0000,1,0,0,0,1,
상위_발주처코드,1.0000,0,0,0,1,1,
예가_상한,1.0000,0,0,0,1,1,
예가_하한,1.0000,0,0,0,1,1,
현설일,1.0000,1,0,0,0,1,
등록마감일,1.0000,1,0,0,0,1,
협정마감일,1.0000,0,0,0,1,1,
투찰시작일,1.0000,1,0,0,0,1,
투찰마감일,1.0000,1,0,0,0,1,
입찰일,1.0000,1,0,0,0,1,
입력일,1.0000,0,0,0,1,1,
공사현장,1.0000,1,0,0,0,1,
검색용현장,1.0000,1,0,0,0,1,
공고확인,1.0000,0,0,0,1,1,
특수실적,1.0000,0,0,0,1,1,
특수실적_공통,1.0000,0,0,0,1,1,
특수실적_내용,1.0000,0,0,0,1,1,
입찰방식,1.0000,1,0,0,0,1,
계약체결방식,1.0000,1,0,0,0,1,
공동도급형태,1.0000,0,0,0,1,1,
참여형태,1.0000,0,0,0,1,1,
지역의무비율,1.0000,1,0,0,0,1,
최소참여비율,1.0000,0,0,0,1,1,
협정업체수,1.0000,0,0,0,1,1,
종목_모두보유,1.0000,0,0,0,1,1,
대표사_최소비율,1.0000,1,0,0,0,1,
순공사입찰점수,1.0000,0,0,0,1,1,
등급공사,1.0000,0,0,0,1,1,
참여불가_신용평가_대표사,1.0000,0,0,0,1,1,
참여불가_신용평가_구성사,1.0000,0,0,0,1,1,
적격발주처,1.0000,0,0,0,1,1,
원발주처,1.0000,0,0,0,1,1,
적격평가기준_세부,1.0000,0,0,0,1,1,
난이도계수,1.0000,0,0,0,1,1,
상호진출여부,1.0000,0,0,0,1,1,
전문건설_주력분야,1.0000,1,0,0,0,1,
주업종_적격평가비율,1.0000,0,0,0,1,1,
단독평가종목,1.0000,0,0,0,1,1,
평가기준금액,1.0000,0,0,0,1,1,
일반_기타_전문,1.0000,1,0,0,0,1,
기초금액발표전,1.0000,1,0,0,0,1,
공고상태,1.0000,1,0,0,0,1,
ai컬럼,1.0000,1,0,0,0,1,
참가자격,1.0000,1,0,0,0,1,
